               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024311,            0.016243,            0.002576,             0.86164,             0.79972,             0.84263,             0.63367,            0.020046,           0.0067026,           0.0022822,            0.008845,            0.008845,            0.008845
                  37,            0.024221,            0.016342,           0.0027212,             0.82851,             0.79646,             0.83256,             0.62161,            0.020733,           0.0069565,           0.0019314,            0.008812,            0.008812,            0.008812
                  38,            0.024036,              0.0164,           0.0026018,             0.85492,             0.81376,             0.85424,             0.63366,            0.020647,           0.0066754,           0.0016808,            0.008779,            0.008779,            0.008779
                  39,            0.024304,            0.016477,           0.0026331,             0.85759,             0.78594,             0.83528,             0.62551,            0.020434,           0.0068653,           0.0028778,            0.008746,            0.008746,            0.008746
                  40,            0.023551,            0.015537,           0.0024228,             0.86967,             0.80735,             0.84942,             0.64174,            0.020422,           0.0066559,           0.0017888,            0.008713,            0.008713,            0.008713
                  41,             0.02374,            0.015653,           0.0021587,             0.83047,             0.82442,             0.85039,              0.6377,            0.020246,           0.0066468,           0.0025492,             0.00868,             0.00868,             0.00868
                  42,            0.023792,            0.015884,           0.0024316,             0.85397,             0.80289,             0.84021,             0.62925,             0.02066,           0.0067331,           0.0025006,            0.008647,            0.008647,            0.008647
                  43,            0.023689,            0.015825,           0.0025708,             0.87299,             0.79288,             0.84087,             0.63309,            0.020277,            0.006626,            0.002111,            0.008614,            0.008614,            0.008614
                  44,            0.023381,            0.015715,           0.0020426,             0.86642,             0.81278,             0.85543,             0.64582,            0.020273,            0.006568,           0.0017115,            0.008581,            0.008581,            0.008581
                  45,            0.023089,              0.0154,           0.0020697,             0.85298,              0.8168,             0.84881,             0.63922,            0.020257,           0.0066018,           0.0021112,            0.008548,            0.008548,            0.008548
                  46,            0.023952,             0.01584,           0.0024648,             0.87711,             0.82049,             0.85838,              0.6466,            0.020232,           0.0066422,           0.0019313,            0.008515,            0.008515,            0.008515
                  47,            0.023614,            0.015921,           0.0023193,             0.85935,             0.81346,             0.84809,             0.63919,            0.020394,            0.006563,           0.0015253,            0.008482,            0.008482,            0.008482
                  48,            0.023567,            0.015849,           0.0024547,             0.88372,             0.79516,             0.85342,             0.64385,            0.020148,           0.0066673,           0.0015799,            0.008449,            0.008449,            0.008449
                  49,            0.023364,            0.015729,           0.0019747,             0.87672,              0.8172,              0.8526,             0.64451,            0.020033,           0.0065918,           0.0017155,            0.008416,            0.008416,            0.008416
                  50,            0.023155,            0.015583,           0.0025191,             0.85173,             0.81673,              0.8455,             0.63692,            0.019949,           0.0065564,           0.0022327,            0.008383,            0.008383,            0.008383
                  51,            0.022786,             0.01566,           0.0024021,             0.85289,             0.83645,             0.85136,             0.63977,            0.020109,            0.006573,           0.0022057,             0.00835,             0.00835,             0.00835
                  52,            0.023364,            0.016022,           0.0024781,             0.86726,              0.8082,             0.85791,             0.64819,            0.019694,           0.0064806,           0.0015656,            0.008317,            0.008317,            0.008317
                  53,            0.023255,            0.015886,           0.0021134,             0.84492,             0.83005,             0.85725,             0.65022,            0.019744,           0.0063812,           0.0016179,            0.008284,            0.008284,            0.008284
                  54,             0.02327,            0.015547,           0.0019337,             0.87118,             0.81875,             0.85756,             0.64877,             0.01993,           0.0063783,           0.0017609,            0.008251,            0.008251,            0.008251
                  55,            0.022983,            0.015447,           0.0020401,             0.89158,              0.8143,             0.86165,             0.65455,            0.019781,           0.0064159,           0.0017365,            0.008218,            0.008218,            0.008218
                  56,            0.022666,            0.015367,            0.001925,             0.87654,             0.82402,             0.85364,             0.65333,            0.019543,           0.0064421,           0.0020316,            0.008185,            0.008185,            0.008185
                  57,            0.022856,            0.015522,             0.00169,             0.87216,             0.81715,             0.85634,              0.6594,            0.019689,           0.0063718,           0.0018329,            0.008152,            0.008152,            0.008152
                  58,            0.022659,            0.015363,           0.0018884,             0.88173,             0.81488,              0.8619,             0.65944,            0.019621,           0.0063498,           0.0017164,            0.008119,            0.008119,            0.008119
                  59,             0.02273,            0.015388,           0.0024421,             0.85235,             0.82502,             0.85315,             0.65186,            0.019828,           0.0064636,           0.0020242,            0.008086,            0.008086,            0.008086
                  60,            0.022953,            0.015662,           0.0019765,             0.86799,             0.81965,             0.85913,             0.66076,            0.019356,           0.0063716,           0.0016573,            0.008053,            0.008053,            0.008053
                  61,            0.022762,            0.015415,           0.0019051,             0.86701,             0.81485,             0.84795,             0.65174,            0.019667,           0.0064739,            0.001823,             0.00802,             0.00802,             0.00802
                  62,            0.023022,            0.015695,           0.0024731,               0.856,              0.8281,             0.85537,              0.6528,            0.019777,           0.0064688,           0.0018108,            0.007987,            0.007987,            0.007987
                  63,             0.02307,            0.015434,           0.0024356,             0.87216,             0.82172,             0.85983,             0.65724,            0.019584,           0.0063595,           0.0022695,            0.007954,            0.007954,            0.007954
                  64,            0.023618,            0.015814,           0.0020698,             0.87206,             0.81496,             0.85426,             0.65608,            0.019972,           0.0064271,           0.0024405,            0.007921,            0.007921,            0.007921
                  65,            0.022599,            0.015396,           0.0020192,             0.86933,             0.82016,             0.85427,             0.65086,            0.020089,           0.0064674,           0.0017739,            0.007888,            0.007888,            0.007888
                  66,            0.022989,            0.015436,           0.0021235,             0.85416,              0.8354,             0.85827,             0.65511,            0.019795,           0.0064158,           0.0017989,            0.007855,            0.007855,            0.007855
                  67,            0.022654,            0.015439,           0.0021424,             0.87277,             0.82834,             0.86146,             0.66302,            0.019794,           0.0062998,           0.0015185,            0.007822,            0.007822,            0.007822
                  68,             0.02285,            0.015401,           0.0020846,             0.88069,             0.82685,             0.86778,             0.66567,             0.01966,           0.0063336,           0.0013668,            0.007789,            0.007789,            0.007789
                  69,            0.022761,             0.01525,           0.0019341,             0.86414,             0.82429,             0.86418,             0.66191,            0.019587,           0.0064043,           0.0013239,            0.007756,            0.007756,            0.007756
                  70,             0.02242,            0.015135,           0.0016748,             0.87654,             0.82147,             0.86344,             0.66357,            0.019754,            0.006394,           0.0014132,            0.007723,            0.007723,            0.007723
                  71,            0.021993,            0.015047,            0.001693,             0.87962,             0.81989,             0.86584,             0.66732,            0.019616,           0.0063575,           0.0013508,             0.00769,             0.00769,             0.00769
                  72,            0.022701,            0.015353,           0.0018943,              0.8766,             0.82945,             0.86241,             0.66695,             0.01933,           0.0062624,           0.0014527,            0.007657,            0.007657,            0.007657
                  73,            0.022083,            0.015194,           0.0019322,             0.87054,             0.84046,             0.86364,             0.66903,            0.019379,           0.0062004,           0.0015571,            0.007624,            0.007624,            0.007624
                  74,            0.022471,            0.015034,           0.0019875,              0.8866,             0.82401,             0.85822,             0.66468,             0.01968,             0.00622,           0.0016957,            0.007591,            0.007591,            0.007591
                  75,            0.022744,            0.015311,           0.0019372,             0.88192,             0.81843,             0.86144,             0.67054,            0.019404,           0.0061919,           0.0016901,            0.007558,            0.007558,            0.007558
                  76,            0.022813,            0.015203,           0.0020848,             0.87148,             0.83699,             0.86121,             0.66557,            0.019499,           0.0062429,           0.0018791,            0.007525,            0.007525,            0.007525
                  77,            0.022513,            0.015218,            0.001873,             0.88337,             0.82948,             0.86344,             0.66404,             0.01955,           0.0062213,           0.0019951,            0.007492,            0.007492,            0.007492
                  78,            0.022216,            0.015054,           0.0021994,             0.86711,             0.83603,             0.86266,             0.66575,            0.019574,             0.00627,           0.0019074,            0.007459,            0.007459,            0.007459
                  79,            0.022533,            0.015446,           0.0021241,              0.8688,             0.83304,             0.86398,             0.66697,            0.019563,           0.0062891,           0.0016263,            0.007426,            0.007426,            0.007426
                  80,            0.022284,            0.015127,           0.0019022,             0.87611,             0.83056,             0.86518,             0.66884,            0.019486,           0.0062522,           0.0014957,            0.007393,            0.007393,            0.007393
                  81,            0.021772,            0.014966,           0.0021626,             0.88055,             0.82044,             0.86564,             0.66679,            0.019655,           0.0062613,           0.0016463,             0.00736,             0.00736,             0.00736
                  82,            0.022399,            0.015305,            0.002101,             0.87531,             0.82919,             0.86391,             0.66834,            0.019664,           0.0062471,           0.0016869,            0.007327,            0.007327,            0.007327
                  83,            0.022317,            0.015121,           0.0022163,              0.8769,              0.8311,             0.86381,             0.66692,            0.019534,           0.0062017,           0.0016246,            0.007294,            0.007294,            0.007294
